Angle,Strain,Stress
50,1.133088,32.00636
50,1.138336,32.03794
50,1.138336,32.06126
50,1.138336,32.08458
50,1.138336,32.11102
50,1.138336,32.13287
50,1.138336,32.15582
50,1.143139,32.18814
50,1.143139,32.2144
50,1.143139,32.24267
50,1.143139,32.26875
50,1.147695,32.29629
50,1.147695,32.32016
50,1.152553,32.34789
50,1.152553,32.378
50,1.152553,32.40995
50,1.152553,32.43015
50,1.152553,32.44832
50,1.152553,32.47018
50,1.152553,32.50323
50,1.157276,32.52599
50,1.157276,32.56621
50,1.157276,32.58934
50,1.157276,32.62019
50,1.162199,32.6413
50,1.162199,32.6637
50,1.162199,32.69951
50,1.167551,32.72907
50,1.167551,32.7412
50,1.167551,32.75937
50,1.167551,32.79591
50,1.167551,32.81794
50,1.167551,32.83777
50,1.172529,32.86715
50,1.172529,32.89249
50,1.172529,32.92646
50,1.172529,32.95217
50,1.177339,32.97659
50,1.177339,33.00009
50,1.182389,33.02267
50,1.182389,33.05922
50,1.182389,33.09355
50,1.182389,33.11118
50,1.182389,33.12679
50,1.182389,33.14974
50,1.187287,33.17086
50,1.187287,33.20262
50,1.187287,33.22943
50,1.187287,33.25459
50,1.192369,33.28672
50,1.192369,33.3194
50,1.192369,33.33372
50,1.197323,33.35796
50,1.197323,33.39744
50,1.197323,33.42057
50,1.197323,33.4382
50,1.197323,33.46721
50,1.197323,33.49935
50,1.201409,33.51477
50,1.201409,33.53992
50,1.201409,33.56471
50,1.201409,33.59519
50,1.205845,33.62145
50,1.205845,33.6523
50,1.205845,33.67378
50,1.211054,33.69379
50,1.211054,33.71877
50,1.211054,33.75071
50,1.211054,33.77863
50,1.211054,33.80066
50,1.211054,33.82912
50,1.215745,33.85409
50,1.215745,33.87686
50,1.215745,33.90183
50,1.215745,33.92754
50,1.220643,33.94847
50,1.220643,33.98262
50,1.220643,33.99768
50,1.226498,34.01935
50,1.226498,34.04873
50,1.226498,34.08049
50,1.226498,34.10968
50,1.226498,34.12805
50,1.226498,34.15155
50,1.232144,34.17542
50,1.232144,34.20278
50,1.232144,34.2351
