Fill,Strain,Stress
60,0.2254481,1.616598
60,0.2254481,1.607739
60,0.2254481,1.599959
60,0.2273509,1.604281
60,0.2273509,1.606874
60,0.2273509,1.611196
60,0.2273509,1.615302
60,0.2273509,1.609251
60,0.2273509,1.612709
60,0.229277,1.626539
60,0.229277,1.623514
60,0.229277,1.623081
60,0.229277,1.631509
60,0.2309313,1.63367
60,0.2309313,1.629564
60,0.2309313,1.6287
60,0.2321894,1.636695
60,0.2321894,1.640369
60,0.2321894,1.641881
60,0.2321894,1.651174
60,0.2321894,1.65247
60,0.2321894,1.658089
60,0.232904,1.656576
60,0.232904,1.65247
60,0.232904,1.655063
60,0.232904,1.655928
60,0.232904,1.656144
60,0.2339059,1.664571
60,0.2339059,1.666084
60,0.2354437,1.668245
60,0.2354437,1.664139
60,0.2354437,1.662627
60,0.2354437,1.671919
60,0.2354437,1.678618
60,0.2354437,1.683588
60,0.236896,1.694825
60,0.236896,1.696985
60,0.236896,1.683588
60,0.236896,1.688558
60,0.2380532,1.698066
60,0.2380532,1.694392
60,0.2380532,1.684668
60,0.2391794,1.682939
60,0.2391794,1.691151
60,0.2391794,1.695905
60,0.2391794,1.709303
60,0.2391794,1.718163
60,0.2391794,1.711464
60,0.2403055,1.721188
60,0.2403055,1.710167
60,0.2403055,1.709303
60,0.2403055,1.705413
60,0.2403055,1.708439
60,0.2415482,1.710816
60,0.2415482,1.714057
60,0.2433811,1.717298
60,0.2433811,1.731344
60,0.2433811,1.730696
60,0.2433811,1.735234
60,0.2433811,1.733073
60,0.2433811,1.736099
60,0.2454625,1.733505
60,0.2454625,1.731561
60,0.2454625,1.740853
60,0.2454625,1.745823
60,0.2467751,1.744958
60,0.2467751,1.745174
60,0.2467751,1.741501
60,0.2474585,1.74323
60,0.2474585,1.752738
60,0.2474585,1.756195
60,0.2474585,1.750361
60,0.2474585,1.762462
60,0.2474585,1.769593
60,0.2482818,1.767216
60,0.2482818,1.760085
60,0.2482818,1.761382
60,0.2482818,1.75922
60,0.2492138,1.760949
60,0.2492138,1.777588
60,0.2506351,1.778669
60,0.2506351,1.770241
60,0.2506351,1.771754
60,0.2506351,1.779966
60,0.2506351,1.788177
60,0.2506351,1.790986
60,0.2506351,1.803952
60,0.2527087,1.797253
60,0.2527087,1.801791
60,0.2527087,1.806113
60,0.2527087,1.799414
60,0.2527087,1.802871
60,0.2547047,1.807193
60,0.2547047,1.814541
60,0.2562814,1.8046
60,0.2562814,1.805897
60,0.2562814,1.807193
60,0.2562814,1.806761
